sample_id,split,output_split,sample_date,sample_lon,sample_lat,GEOID,hazard_index,exposure_index,vulnerability_index,risk_score,risk_score_weighted,risk_hev_product,risk_tier,hazard_prob_mean,hazard_prob_p95,hazard_prob_max,hazard_pred_fire_frac,acs_population,acs_housing_units,asset_value_usd,risk_eal_usd,expected_property_loss_usd_weighted,expected_property_loss_usd_hev,expected_population_affected,expected_housing_units_affected,exposure_pop_density_km2,exposure_housing_density_km2,acs_median_home_value,road_nearest_dist_m,svi_rpl_themes
eval_eval_ndws64_meta_000.tfrecord_00000000,eval,validation,2020-07-11,-118.752792,34.347084,06111008502,0.0615909993648529,0.5451428709728411,0.2929,0.009834379416991822,0.2529183609742788,0.009834379416991822,moderate,0.0615909993648529,0.2856978178024292,0.6848995089530945,0.028564453125,3346.0,1368.0,968817600.0,9527719.864259416,245031759.47503442,9527719.864259416,32.905833529254636,13.453431042444812,73.24298805648965,29.945130801338266,708200.0,31.135411643670608,0.2929
eval_eval_ndws64_meta_000.tfrecord_00000001,eval,validation,2020-07-14,-120.531456,36.152699,06019007903,0.1191314309835434,0.28450450969416485,0.6893,0.023362740858631912,0.28277706840002115,0.023362740858631912,high,0.1191314309835434,0.3979098498821258,0.7228439450263977,0.033203125,6112.0,1069.0,213800000.0,4994953.9955755025,60457737.223924525,4994953.9955755025,142.79307212795825,24.974769977877514,3.350887813312746,0.5860764189187379,200000.0,1832.461784059554,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000002,eval,validation,2020-07-14,-120.522469,36.152699,06019007903,0.1188708543777465,0.28453985755862704,0.6893,0.023314535773855477,0.2826573844564614,0.023314535773855477,high,0.1188708543777465,0.3859452605247497,0.7140148878097534,0.031494140625,6112.0,1069.0,213800000.0,4984647.748450301,60432148.79679144,4984647.748450301,142.49844264980467,24.923238742251506,3.350887813312746,0.5860764189187379,200000.0,1315.403929119086,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000003,eval,validation,2020-07-14,-120.558403,36.143715,06019007903,0.1196577548980712,0.2851459761600752,0.6893,0.023518865905490266,0.2832326702970582,0.023518865905490266,high,0.1196577548980712,0.424304187297821,0.7372015118598938,0.038330078125,6112.0,1069.0,213800000.0,5028333.530593819,60555144.90951104,5028333.530593819,143.7473084143565,25.141667652969094,3.350887813312746,0.5860764189187379,200000.0,224.5767093820178,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000004,eval,validation,2020-07-14,-120.531456,36.125748,06019007903,0.1174690350890159,0.2847307722026901,0.6893,0.023055050924502718,0.28201374920531497,0.023055050924502718,high,0.1174690350890159,0.401356428861618,0.7009434103965759,0.03466796875,6112.0,1069.0,213800000.0,4929169.887658681,60294539.58009634,4929169.887658681,140.9124712505606,24.645849438293407,3.350887813312746,0.5860764189187379,200000.0,520.7298668944237,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000005,eval,validation,2020-07-15,-120.594337,36.206596,06019007903,0.0912957340478897,0.2847625567462219,0.6893,0.017920150262121872,0.26893663404781143,0.017920150262121872,high,0.0912957340478897,0.3693960309028625,0.7160928249359131,0.034423828125,6112.0,1069.0,213800000.0,3831328.1260416564,57498652.35942208,3831328.1260416564,109.52795840208888,19.15664063020828,3.350887813312746,0.5860764189187379,200000.0,473.0833350512757,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000006,eval,validation,2020-07-15,-120.522469,36.107784,06019007903,0.0807567685842514,0.2869248084115682,0.6893,0.015971853259994062,0.2643158268155962,0.015971853259994062,high,0.0807567685842514,0.2809707224369049,0.6497930288314819,0.020751953125,6112.0,1069.0,213800000.0,3414782.2269867305,56510723.773174465,3414782.2269867305,97.6199671250837,17.073911134933653,3.350887813312746,0.5860764189187379,200000.0,64.72955909932999,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000007,eval,validation,2020-07-15,-120.540436,36.206596,06019007903,0.0896886214613914,0.2852006427264066,0.6893,0.017631778738623382,0.26826450354861764,0.017631778738623382,high,0.0896886214613914,0.3441528379917145,0.7000536322593689,0.02734375,6112.0,1069.0,213800000.0,3769674.294317679,57354950.85869445,3769674.294317679,107.76543165046611,18.848371471588397,3.350887813312746,0.5860764189187379,200000.0,208.8903065985249,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000008,eval,validation,2020-07-15,-120.57637,36.188633,06019007903,0.0886701196432113,0.2852558481349937,0.6893,0.01743492685718023,0.2677718142621038,0.01743492685718023,high,0.0886701196432113,0.3479896187782287,0.7174565196037292,0.031494140625,6112.0,1069.0,213800000.0,3727587.362065133,57249613.88923779,3727587.362065133,106.56227295108556,18.637936810325666,3.350887813312746,0.5860764189187379,200000.0,195.1180085678119,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000009,eval,validation,2020-07-15,-120.495522,36.107784,06019007903,0.0787589699029922,0.2845977651525482,0.6893,0.015450402267100712,0.26261881449726054,0.015450402267100712,high,0.0787589699029922,0.2604166865348816,0.6165601015090942,0.014404296875,6112.0,1069.0,213800000.0,3303296.004706132,56147902.5395143,3303296.004706132,94.43285865651954,16.51648002353066,3.350887813312746,0.5860764189187379,200000.0,899.4146293396323,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000010,eval,validation,2020-07-15,-120.58535,36.224564,06019007903,0.0918493792414665,0.28466517149601234,0.6893,0.01802265788906079,0.269184241069537,0.01802265788906079,high,0.0918493792414665,0.3889434337615967,0.7213637828826904,0.03466796875,6112.0,1069.0,213800000.0,3853244.2566811973,57551590.74066701,3853244.2566811973,110.15448501793955,19.266221283405986,3.350887813312746,0.5860764189187379,200000.0,657.2751112668308,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000011,eval,validation,2020-07-15,-120.58535,36.188633,06019007903,0.0890737473964691,0.28458601823755525,0.6893,0.01747316433955993,0.2677726791695011,0.01747316433955993,high,0.0890737473964691,0.3501088917255401,0.7164554595947266,0.0322265625,6112.0,1069.0,213800000.0,3735762.5357979136,57249798.80643933,3735762.5357979136,106.7959804433903,18.678812678989566,3.350887813312746,0.5860764189187379,200000.0,961.087758527406,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000012,eval,validation,2020-07-15,-120.531456,36.197613,06019007903,0.0888288170099258,0.28506473008087974,0.6893,0.01745442891967243,0.26779382752922687,0.01745442891967243,high,0.0888288170099258,0.3319491446018219,0.6957745552062988,0.0244140625,6112.0,1069.0,213800000.0,3731756.903025965,57254320.325748704,3731756.903025965,106.68146955703789,18.658784515129827,3.350887813312746,0.5860764189187379,200000.0,252.76314386106688,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000013,eval,validation,2020-07-16,-120.567383,36.188633,06019007903,0.0707267373800277,0.284776528054956,0.6893,0.013883408230801668,0.25865632710650066,0.013883408230801668,moderate,0.0707267373800277,0.2658109068870544,0.7028129696846008,0.02294921875,6112.0,1069.0,213800000.0,2968272.6797453966,55300722.73536984,2968272.6797453966,84.8553911066598,14.841363398726983,3.350887813312746,0.5860764189187379,200000.0,454.7868163022246,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000014,eval,validation,2020-07-16,-120.522469,36.089817,06019007903,0.0626677125692367,0.2855813550302745,0.6893,0.012336216176607044,0.2548682627937007,0.012336216176607044,moderate,0.0626677125692367,0.2257860004901886,0.6554745435714722,0.014892578125,6112.0,1069.0,213800000.0,2637483.018558586,54490834.5852932,2637483.018558586,75.39895327142226,13.18741509279293,3.350887813312746,0.5860764189187379,200000.0,140.40801893175245,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000015,eval,validation,2020-07-16,-120.594337,36.197613,06019007903,0.0731701105833053,0.2846194198085867,0.6893,0.014355109806774749,0.25983088123422865,0.014355109806774749,moderate,0.0731701105833053,0.2986467778682709,0.7032178640365601,0.02685546875,6112.0,1069.0,213800000.0,3069122.4766884414,55551842.407878086,3069122.4766884414,87.73843113900726,15.345612383442207,3.350887813312746,0.5860764189187379,200000.0,804.2570677527522,0.6893
eval_eval_ndws64_meta_000.tfrecord_00000016,eval,validation,2020-07-16,-120.522469,36.107784,06019007903,0.063121885061264,0.2869248084115682,0.6893,0.012484074132323893,0.2554983850541025,0.012484074132323893,moderate,0.063121885061264,0.2194711118936538,0.6265716552734375,0.014892578125,6112.0,1069.0,213800000.0,2669095.049490848,54625554.724567115,2669095.049490848,76.30266109676363,13.34547524745424,3.350887813312746,0.5860764189187379,200000.0,64.72955909932999,0.6893
